---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 0.999
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000
num_episodes: 10000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs
saved_dir: output/gamma0999
log_file: output/gamma0999/train.log
gpu: 1
sim_rom_mode: False
--------

Episode: 252/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 253/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 254/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 255/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 256/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 257/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 258/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 259/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 260/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 261/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 262/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 263/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 264/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 265/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 266/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 267/10000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 268/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 269/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 270/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 271/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 272/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 273/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 274/10000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 275/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 276/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 277/10000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 278/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 279/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 280/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 281/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
