---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 1.0
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000.0
num_episodes: 100000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs/runs2
saved_dir: output/output2
log_file: output/output2/train.log
gpu: 0
sim_rom_mode: False
--------

Episode: 277/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 278/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 279/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 280/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 281/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 282/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 283/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 284/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 285/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 286/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 287/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 288/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 289/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 290/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 291/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 292/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 293/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 294/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 295/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 296/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 297/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 298/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 299/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 300/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 301/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 302/100000, Score: 33, Tetrominoes 25, Cleared lines: 1
Episode: 303/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 304/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 305/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 306/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 307/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 308/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 309/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 310/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 311/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 312/100000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 313/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 314/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 315/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 316/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 317/100000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 318/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 319/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 320/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 321/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 322/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 323/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 324/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 325/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 326/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 327/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 328/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 329/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 330/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 331/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 332/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 333/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 334/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 335/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 336/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 337/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 338/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 339/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 340/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 341/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 342/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 343/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 344/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 345/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 346/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 347/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 348/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 349/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 350/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 351/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 352/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 353/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 354/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 355/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 356/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 357/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 358/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 359/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 360/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 361/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 362/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 363/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 364/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 365/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 366/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 367/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
